Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
3725/087,959 MISSION ST,959 MISSION ST,94103,"959 MISSION ST
San Francisco, CA 94103
(37.781706, -122.407783)",71847,Office,http://propertymap.sfplanning.org/?&search=3725/087,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Pending,,,98,43.7,94.1,-61.6,-61.6,222.6,3.1,45.4,95.8,99,38.5,84.3,,,189.8,2.6,40.9,86.7,99,36.2,79.3,,,178.5,2.5,41.5,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
3923/006,Hamms Building,1550 BRYANT ST,94103,"1550 BRYANT ST
San Francisco, CA 94103
(37.76762, -122.410687)",198612,Office,http://propertymap.sfplanning.org/?&search=3923/006,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,96,33.8,101,-56.4,-56.4,546.7,2.9,34,101.2,95,34.8,107.9,-53.5,-53.5,539.9,2.8,34.4,106.9,95,33.7,104.5,-54.6,-54.6,523.2,2.7,33.1,101.9,93,36.1,107.9,-50.1,-50,590.9,3.1,35.7,107.4,91,39.4,124.9,-46.3,,665.12,,39.1,124.6,92,37.6,,-48.8,,636.8,,37.4,
4107/001B,950 TENNESSEE ST,950 TENNESSEE ST,94107,"950 TENNESSEE ST
San Francisco, CA 94107
(37.759824, -122.38943)",38500,Other,http://propertymap.sfplanning.org/?&search=4107/001B,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,61.8,194,57.6,57.6,179.6,5.4,61.8,194,,71.8,225.4,83.1,83.1,196.1,5.9,71.8,225.4,,74.7,234.6,90.6,90.6,204.1,6.1,74.7,234.6,,78.4,246.2,99.9,99.9,214.1,6.4,78.4,246.2,,89.7,299.5,28.1,,272.89,,89.7,299.5,,,,,,,,,
3753/056,910 HARRISON ST,910 HARRISON ST,94107,"910 HARRISON ST
San Francisco, CA 94107
(37.778721, -122.402251)",10500,,http://propertymap.sfplanning.org/?&search=3753/056,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8721/011,550 Terry Francois,550 Terry Francois Street,94107,"550 Terry Francois Street
San Francisco, CA 94107
(37.769469, -122.386329)",313575,Office,http://propertymap.sfplanning.org/?&search=8721/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,85,63.4,173.2,-37.9,-37.9,1593.7,5.1,63.6,172.7,82,66.7,181.4,-34.9,-34.9,1585.5,5.1,66.8,180,86,60.8,167.5,-39.5,-39.5,1455.1,4.6,61.2,164.8,86,63.3,170.4,-40.1,-40.1,1497.2,4.8,62.8,171.8,83,63.3,181.1,-36.3,,1649.55,,62.3,180,90,61.8,,-42.5,,1543.29,,61.8,
3756/032,325 9TH ST,325 9TH ST,94103,"325 9TH ST
San Francisco, CA 94103
(37.773428, -122.411175)",16875,Office,http://propertymap.sfplanning.org/?&search=3756/032,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,98,20.9,58.4,-63.1,-63.1,28.7,1.7,20.7,57.6,97,22.4,63.3,-60.1,-60.1,29.2,1.7,22.6,62.2,89,23,67.1,-44.2,-44.2,30.5,1.8,22.7,63.8,95,21.5,57.7,-54.6,-54.6,27.3,1.6,20.8,58.5,,,,,,,,,,,,,,,,,,
3750/009,650 Harrison St.,650 HARRISON ST,94107,"650 HARRISON ST
San Francisco, CA 94107
(37.783263, -122.396518)",16000,Office,http://propertymap.sfplanning.org/?&search=3750/009,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,79,30.3,62.2,-30.8,-30.8,33.5,2.1,34.3,66.4,85,24.9,58,-37.9,-37.9,28.1,1.8,26.5,59.6,89,20.8,50.9,-43.8,-43.8,24,1.5,23,52.8,91,20.7,50,-47.4,-47.4,23.7,1.5,20.8,50.1,,,,,,,,,,,,,,,,,,
5348/006,2215 REVERE AVE,2215 REVERE AVE,94124,"2215 REVERE AVE
San Francisco, CA 94124
(37.738368, -122.40197)",15794,,http://propertymap.sfplanning.org/?&search=5348/006,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/B079,899 Howard Street,899 HOWARD ST,94103,"899 HOWARD ST
San Francisco, CA 94103
(37.781491, -122.404946)",94505,Retail Store,http://propertymap.sfplanning.org/?&search=3733/B079,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,21,48.1,150.9,45.5,45.5,394.2,4.2,48.1,150.9,9,60.8,191,84.8,84.8,468.7,5,59.9,187.9,5,66.7,209.4,109.7,109.7,513.8,5.4,66.7,209.4,6,70.9,222.8,100.8,100.9,589.3,6.2,70.9,222.8,4,75.3,251.5,113,,646.61,,76,253.8,6,72.5,,101.7,,622.84,,72.5,
8721/032,ARE 455 Mission Bay,455 Mission Bay Blvd South,94158,"455 Mission Bay Blvd South
San Francisco, CA 94158
(37.770721, -122.388535)",219588,Laboratory,http://propertymap.sfplanning.org/?&search=8721/032,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,,211.4,466.9,279.2,279.2,3332.1,15.2,217.3,471.4,,203.4,448.7,264.4,264.4,3074.1,14,203.2,448.2,,224.9,469.9,281.6,281.6,3320.8,15.1,228.2,464.5,,231.4,463.3,276.3,276.4,3503.1,16,229.6,465,,225.3,458.3,231.3,,3433.94,,224.7,460.6,,205.9,,157.3,,3149.85,,210.4,
8709/008,1650 Owens Street,1650 Owens St,94107,"1650 Owens St
San Francisco, CA 94107
(37.767828, -122.39405)",200280,Laboratory,http://propertymap.sfplanning.org/?&search=8709/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,,312.5,608.9,394.6,394.6,4229.9,21.1,311.6,606.2,,254.5,538.3,337.2,337.2,3445.8,17.2,256.3,536.4,,255.6,541.2,339.6,339.6,3462.3,17.3,260.7,539.1,,248,511.6,315.4,315.6,3474.7,17.3,244.7,510.6,,212,466.5,279.2,279,3067.3,15.3,213.6,471.8,,209.2,,278.1,,3083.94,,211.3,
3721/049,149 2ND ST,149 2ND ST,94105,"149 2ND ST
San Francisco, CA 94105
(37.787282, -122.398892)",19962,,http://propertymap.sfplanning.org/?&search=3721/049,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3786/037,Bay Club San Francisco Tennis,645 5TH ST,94107,"645 5TH ST
San Francisco, CA 94107
(37.77613, -122.398205)",249625,Fitness Center/Health Club/Gym,http://propertymap.sfplanning.org/?&search=3786/037,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,66.3,149.3,54.2,54.2,849.9,4.4,69.8,153,,61.6,146.7,51.5,51.5,849.2,4.4,63.5,148.7,,63.6,149.9,54.9,54.9,873,4.5,66.2,152.7,,69.6,157.2,62.2,62.4,986.5,5.1,70,157.6,,68.9,161.5,76.6,,993.58,,68.3,161.4,,61.7,,46.7,,896.67,,61.7,
3777/051,645 BRYANT ST,645 BRYANT ST,94107,"645 BRYANT ST
San Francisco, CA 94107
(37.77869, -122.399176)",32141,,http://propertymap.sfplanning.org/?&search=3777/051,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5240/043,1355 FAIRFAX AVE,1355 FAIRFAX AVE,94124,"1355 FAIRFAX AVE
San Francisco, CA 94124
(37.739411, -122.383765)",14000,,http://propertymap.sfplanning.org/?&search=5240/043,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3729/004,230 8TH ST,230 8TH ST,94103,"230 8TH ST
San Francisco, CA 94103
(37.775729, -122.410995)",19520,Mixed Use Property,http://propertymap.sfplanning.org/?&search=3729/004,Complied,,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - Tenant Turnover,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,25.1,59.6,-51.6,-51.6,36.5,1.9,27.9,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5921/020,1390 SILVER AVE,1390 SILVER AVE,94134,"1390 SILVER AVE
San Francisco, CA 94134
(37.731424, -122.408968)",15232,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=5921/020,Exempt,,Exempt,Exempt - Vacant,Complied,,Exempt,Exempt - New Construction,Exempt,Exempt - Vacant,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2018-04-01T00:00:00,Upcoming,,,,,,,,,,,,,,,,,,,,,37,105.6,329.4,7.8,7.8,130.7,8.6,103,321.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
3707/021,666 MISSION ST,666 MISSION ST,94105,"666 MISSION ST
San Francisco, CA 94105
(37.786723, -122.40144)",16310,Museum,http://propertymap.sfplanning.org/?&search=3707/021,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,26.4,66.9,-21.3,-21.3,33.2,2,29.7,69.6,,25.3,69.4,-18.5,-18.5,31.4,1.9,25.3,68.2,,25.5,69.3,-18.6,-18.6,31.5,1.9,27,69.7,,27,68.4,-19.7,-19.7,32.2,2,27.1,68.4,,,,,,,,,,,,,,,,,,
3710/018,50 Beale,50 BEALE ST,94105,"50 BEALE ST
San Francisco, CA 94105
(37.79149, -122.39626)",747573,Office,http://propertymap.sfplanning.org/?&search=3710/018,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - LEED EBOM,,,98,35.6,100.9,-61.6,-61.6,2117.6,2.9,37,102.4,97,35.8,101.8,-58.9,-58.9,2017.7,2.8,35.8,101.8,,,,,,,,,,90,55,134.8,-46,-45.9,3054.2,4.2,55.1,134.9,90,55.7,137.8,-45.1,-45.1,3109.6,4.3,,,94,38.4,,-51.2,,2533.53,,38.4,
5333/039,141 INDUSTRIAL ST,141 INDUSTRIAL ST,94124,"141 INDUSTRIAL ST
San Francisco, CA 94124
(37.739211, -122.402382)",13000,,http://propertymap.sfplanning.org/?&search=5333/039,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3750/079,633 Folsom Street,633 FOLSOM ST,94107,"633 FOLSOM ST
San Francisco, CA 94107
(37.784906, -122.397525)",195096,Office,http://propertymap.sfplanning.org/?&search=3750/079,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - ENERGY STAR,79,68.1,179.6,-31.6,-31.6,1045.3,5.4,69.2,179.2,85,67.1,182.6,-38.8,-38.8,993.2,5.1,68.1,183.6,76,66.6,174,-28.1,-28.1,966,5,68.5,176,86,69.8,178.2,-39.6,-39.6,1066.5,5.5,69.9,178.4,82,82.9,195.9,-34,,1215.1,,81.5,194.5,77,81.6,,-29.2,,1222.32,,80.7,
5587/005,2121 OAKDALE AVE,2121 OAKDALE AVE,94124,"2121 OAKDALE AVE
San Francisco, CA 94124
(37.740387, -122.400537)",19228,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=5587/005,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,56,23.7,53.8,,,31.8,1.7,26.4,56,74,14.4,38.9,,,17.9,0.9,,,90,7.1,22.3,-57.7,-57.7,11.1,0.6,7.1,22.3,,,,,,,,,,,,,,,,,,
3775/005,544 2ND ST,544 2ND ST,94107,"544 2ND ST
San Francisco, CA 94107
(37.782625, -122.393071)",20202,Office,http://propertymap.sfplanning.org/?&search=3775/005,Violation - Did Not Report,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,13.7,38.9,-73.8,-73.8,21.4,1.1,13.7,38.9,,34.1,94.6,-36.1,-36.1,52.7,2.6,34.1,94.6,,30.9,88.6,-40.1,-40.1,48.6,2.4,30.4,88.1,,,,,,,,,,,,,,,,,,
3736/095,217 Second Street,217 2ND ST,94105,"217 2ND ST
San Francisco, CA 94105
(37.786393, -122.397763)",22687,Office,http://propertymap.sfplanning.org/?&search=3736/095,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,74,46.1,117.3,-25.4,-25.4,80.7,3.6,46.1,117.3,73,44.1,120.8,-24.9,-24.9,76.1,3.4,43.8,118.7,63,48.3,136,-13.9,-13.9,84.6,3.7,49.8,137.6,77,43.5,114.8,-29.3,-29.3,78.5,3.5,43.6,114.9,,,,,,,,,,,,,,,,,,
